recno,Seq,Name,PapI,RSpec,Type,CHb,n_Ne-,Ne-,n_TOIII,TOIII,n_TNII,TNII,Excit,n_He,He,n_C,C,n_N,N,n_O,O,n_Ne,Ne,n_S,S,n_Ar,Ar,C/N,C/O,N/O,C+N,C+N+O
79,42,SMP_LMC_48,"    ","   ",i,0.25," ",1900," ",11300," ",8800,3.0," ",10.92," ",0.0,:,7.71," ",8.24," ",7.14," ",7.18,:,5.88,0.0,0.0,-0.53,7.71,8.35
80,43,SMP_LMC_49,"    ","   ",n,0.04," ",1000," ",13300," ",21600,6.0," ",11.05," ",0.0," ",7.6," ",8.33," ",7.48," ",7.63," ",6.05,0.0,0.0,-0.72,7.6,8.4
81,44,SMP_LMC_50,"    ",mea,n,0.0," ",3600," ",13700,:,13700,5.4," ",11.01," ",0.0,:,7.42,:,8.22,:,7.35,~,7.59,:,5.84,0.0,0.0,-0.8,7.42,8.28
82,45,SMP_LMC_51,"    ",mon,n,0.0,*,5000," ",12000,:,12000,4.5," ",11.01," ",0.0," ",7.48," ",8.32," ",7.25," ",6.2," ",0.0,0.0,0.0,-0.84,7.48,8.38
83,46,SMP_LMC_52,"    ",mea,n,0.02," ",2900," ",12000,*,12000,5.8," ",10.92," ",0.0,:,7.59,:,8.55,:,7.72,:,7.73,:,6.16,0.0,0.0,-0.96,7.59,8.59
84,47,SMP_LMC_53,(P1),"   ",i,0.37," ",4800," ",14100," ",13400,2.7," ",10.93,<,6.7," ",7.72," ",8.23," ",7.61," ",7.26," ",5.86,-1.02,-1.53,-0.51,7.76,8.35
85,48,SMP_LMC_54,(P1),"   ",I,0.11," ",400,~,11700," ",11700,9.3,~,11.1,<,8.14,:,8.84,:,8.74,:,8.08,:,7.84,:,6.63,-0.7,-0.59,0.11,8.92,9.14
86,49,SMP_LMC_55,"    ",mea,n,0.02,*,47400," ",12400," ",10100,0.7," ",10.82," ",0.0," ",7.27," ",8.4," ",6.8," ",6.44,:,5.76,0.0,0.0,-1.14,7.27,8.44
87,50,SMP_LMC_56,"    ",mea,n,0.0,*,5000," ",13100,:,13100,0.0,<,10.79," ",0.0,:,6.57,:,7.93,:,6.51,<,6.63,:,5.78,0.0,0.0,-1.36,6.57,7.95
88,51,SMP_LMC_58,"    ",mea,i,0.0,*,5000," ",12600,:,12600,0.0," ",10.97," ",0.0,:,7.58,:,8.1,:,7.09,+,7.98,:,5.83,0.0,0.0,-0.53,7.58,8.21
89,52,SMP_LMC_59,"    ","   ",I,1.04," ",200," ",15000," ",12400,8.6,~,11.05," ",0.0," ",8.49," ",8.52," ",8.09," ",7.12,:,6.2,0.0,0.0,-0.03,8.49,8.81
90,53,SMP_LMC_60,"    ",mea,n,0.0,*,5000," ",16300,:,16300,9.9," ",11.0," ",0.0," ",7.97," ",8.87," ",8.05,<,8.15," ",6.05,0.0,0.0,-0.9,7.97,8.92
91,54,SMP_LMC_61,"    ",mea,n,0.03," ",36200," ",11100," ",10200,0.0," ",11.08," ",0.0,:,7.32,:,8.53,:,7.76,:,6.76,:,6.26,0.0,0.0,-1.22,7.32,8.56
92,55,SMP_LMC_62,"    ",mea,I,0.06," ",3400," ",15900,:,15900,5.9," ",11.01," ",0.0,:,7.89,:,8.15,:,7.34,+,6.66,:,5.73,0.0,0.0,-0.26,7.89,8.34
93,56,SMP_LMC_63,(P1),"   ",n,0.26," ",2600," ",11100," ",10000,4.1," ",10.92,:,8.8,:,7.72," ",8.39," ",7.53," ",7.28," ",5.94,1.08,0.41,-0.66,8.84,8.97
94,57,SMP_LMC_64,"    ",mea,n,0.03,*,5000,*,12000,*,12000,0.1," ",10.76," ",0.0," ",6.34," ",7.05,<,5.99,+,7.09,:,5.66,0.0,0.0,-0.71,6.34,7.12
95,58,SMP_LMC_65,"    ",mea,n,0.01,*,5000," ",10700,:,10700,0.0,+,11.05," ",0.0,<,7.28,:,8.35,:,7.34,<,8.29,:,5.97,0.0,0.0,-1.08,7.28,8.39
96,59,SMP_LMC_66,(P1),"   ",n,0.11," ",3300," ",13000,:,13000,5.5," ",10.97," ",8.51," ",7.61," ",8.31," ",7.29," ",7.93," ",5.91,0.89,0.19,-0.7,8.56,8.76
97,60,SMP_LMC_67,(P1),"   ",i,0.06," ",8100," ",10000," ",8600,1.4," ",10.92,<,7.66," ",8.0," ",8.5," ",7.6," ",6.46,:,6.04,-0.34,-0.84,-0.5,8.16,8.66
98,61,SMP_LMC_68,"    ","   ",n,0.0," ",1900," ",12000,*,12000,9.9,~,11.02," ",0.0,:,7.88," ",8.94," ",8.15," ",8.76," ",6.34,0.0,0.0,-1.06,7.88,8.98
99,62,SMP_LMC_69,(P1),"   ",I,0.29," ",200," ",17200," ",12700,9.0,~,11.06,<,8.32," ",8.61," ",8.63," ",8.1,+,6.85,:,5.95,-0.29,-0.31,-0.02,8.79,9.01
100,63,SMP_LMC_71,"    ",mon,n,0.15,*,5000," ",13000," ",10800,6.7," ",11.04," ",0.0," ",8.03," ",8.63," ",7.85," ",6.61," ",0.0,0.0,0.0,-0.6,8.03,8.73
101,64,SMP_LMC_72,"    ","   ",n,0.21," ",100," ",16000,:,16000,9.9,~,11.02," ",0.0,:,7.88,:,8.92,:,8.08,:,8.23,:,6.1,0.0,0.0,-1.04,7.88,8.96
102,65,SMP_LMC_73,(P1),"   ",n,0.34," ",4500," ",11700," ",9700,5.7," ",10.94," ",8.78,:,8.03," ",8.66," ",7.8," ",7.37," ",6.1,0.75,0.12,-0.63,8.85,9.07
103,66,SMP_LMC_74,"    ",mea,n,0.03," ",4900," ",12600,:,12600,5.8," ",11.03," ",0.0,:,7.65,:,8.42,:,7.65,:,7.26,:,6.07,0.0,0.0,-0.77,7.65,8.49
104,67,SMP_LMC_75,"    ",mon,n,0.25,*,5000," ",12100,:,12100,4.2," ",10.96," ",0.0," ",7.44," ",8.29," ",7.56," ",0.0," ",0.0,0.0,0.0,-0.85,7.44,8.34
105,68,SMP_LMC_76,"    ",mea,n,0.07,*,5000," ",11500,:,11500,0.0,~,11.0," ",0.0,:,7.33,:,8.15,:,7.27,<,7.3,:,5.78,0.0,0.0,-0.82,7.33,8.21
106,69,SMP_LMC_77,(P1),"   ",n,0.94," ",4700," ",13300," ",10400,1.7," ",10.86,:,9.12,:,6.73," ",8.27," ",7.48," ",5.89,:,5.46,2.39,0.85,-1.54,9.12,9.18
107,70,SMP_LMC_78,"    ",mea,I,0.06," ",4200," ",14200,:,14200,6.0," ",11.01," ",0.0,:,7.88,:,8.39,:,7.56,:,7.49,:,6.04,0.0,0.0,-0.51,7.88,8.51
108,71,SMP_LMC_79,"    ","   ",I,0.28," ",3100," ",12900," ",13600,5.3," ",11.03," ",0.0," ",8.02," ",8.34," ",7.47," ",7.67," ",5.93,0.0,0.0,-0.32,8.02,8.51
109,72,SMP_LMC_80,"    ","   ",n,0.08," ",36500," ",10600,~,10600,2.4," ",10.93," ",0.0," ",7.39," ",8.34," ",7.32," ",7.12,:,6.13,0.0,0.0,-0.95,7.39,8.38
110,73,SMP_LMC_81,"    ",mon,n,0.15," ",11300," ",14300,:,14300,5.1," ",10.89," ",0.0," ",7.12," ",8.25," ",7.32," ",6.21," ",0.0,0.0,0.0,-1.12,7.12,8.28
111,74,SMP_LMC_82,"    ","   ",I,0.47," ",4900," ",16100," ",16200,7.6," ",11.25," ",0.0," ",8.59," ",8.16," ",7.56," ",7.72," ",6.21,0.0,0.0,0.43,8.59,8.73
112,75,SMP_LMC_83,"    ",mea,I,0.0," ",2000," ",17800," ",12000,7.8," ",11.08," ",0.0,:,8.13,:,8.23,:,7.45,:,7.42,:,6.24,0.0,0.0,-0.11,8.13,8.48
113,76,SMP_LMC_84,"    ","   ",n,0.2," ",2900," ",11900,~,11900,3.0," ",10.97," ",0.0," ",7.43," ",8.15," ",7.17," ",7.3,:,5.79,0.0,0.0,-0.72,7.43,8.23
114,77,SMP_LMC_85,"    ","   ",n,0.42,~,31400," ",11700," ",13900,1.6," ",10.93," ",0.0," ",7.26," ",8.0," ",6.83," ",6.67," ",5.73,0.0,0.0,-0.74,7.26,8.08
115,78,SMP_LMC_86,"    ","   ",I,0.59," ",1200," ",17400," ",12500,7.9," ",11.19," ",0.0," ",8.66," ",8.01," ",7.4," ",7.27,:,5.99,0.0,0.0,0.65,8.66,8.75
116,79,SMP_LMC_87,"    ","   ",I,0.24," ",2000," ",18700," ",12100,8.6," ",11.17," ",0.0," ",8.74," ",8.23," ",7.49," ",7.26," ",6.11,0.0,0.0,0.5,8.74,8.86
117,80,SMP_LMC_88,(P1),"   ",I,1.31," ",3400," ",19900," ",18000,9.2,~,11.11,<,8.84," ",7.79," ",7.91," ",7.51," ",6.77," ",5.61,1.04,0.93,-0.11,8.88,8.92
118,81,SMP_LMC_89,"    ",mea,n,0.0," ",5500," ",13500,:,13500,5.0," ",10.94," ",0.0,:,7.52,:,8.37,:,7.64,+,6.23,:,5.81,0.0,0.0,-0.84,7.52,8.43
119,82,SMP_LMC_90,"    ","   ",i,0.52," ",700," ",19200," ",9400,5.7," ",10.91," ",0.0," ",7.84," ",8.18," ",7.51," ",6.13,:,5.63,0.0,0.0,-0.35,7.84,8.35
120,83,SMP_LMC_91,"    ","   ",I,0.46," ",700," ",17900," ",12300,8.9," ",11.18," ",0.0," ",8.48," ",8.27," ",7.77," ",7.16," ",6.02,0.0,0.0,0.21,8.48,8.69
121,84,SMP_LMC_92,(P1),"   ",n,0.31," ",5300," ",13000," ",10000,6.1," ",10.92," ",8.21," ",7.77," ",8.62," ",7.83," ",7.2,:,6.16,0.44,-0.41,-0.85,8.34,8.81
122,85,SMP_LMC_93,"    ","   ",i,0.57," ",300," ",17100," ",11000,7.6," ",10.96," ",0.0," ",8.69," ",8.58," ",8.1," ",7.31,:,6.06,0.0,0.0,0.11,8.69,8.94
123,86,SMP_LMC_94,"    ",mea,n,0.93,*,5000,*,12000,*,12000,7.8," ",11.08," ",0.0,<,5.98," ",7.29,<,6.48,:,6.09," ",5.81,0.0,0.0,-1.31,5.98,7.31
124,87,SMP_LMC_95,"    ",vas,i,0.45," ",1000," ",13700,:,13700,6.0,+,10.96," ",0.0,:,7.95,:,8.41,:,7.76,+,6.51,:,6.26,0.0,0.0,-0.46,7.95,8.54
125,88,SMP_LMC_96,"    ",mea,I,0.0," ",1200," ",23100," ",12100,9.6,~,11.25," ",0.0," ",8.32," ",8.04," ",7.52," ",7.09," ",6.15,0.0,0.0,0.28,8.32,8.51
126,89,SMP_LMC_97,"    ",mea,n,0.04," ",1300," ",14900,:,14900,8.1,~,10.98," ",0.0,:,7.78," ",8.5," ",7.54,+,8.01," ",5.97,0.0,0.0,-0.72,7.78,8.57
127,90,SMP_LMC_98,"    ","   ",n,0.42," ",7000," ",12300," ",10100,5.3," ",10.93," ",0.0,:,7.79," ",8.57," ",7.77," ",7.22,:,6.05,0.0,0.0,-0.78,7.79,8.63
128,91,SMP_LMC_99,(P1),"   ",i,0.24," ",3600," ",12200," ",13200,5.7," ",10.92," ",8.69," ",8.15," ",8.56," ",7.62," ",7.65," ",6.62,0.55,0.14,-0.41,8.8,9.0
129,92,SMP_LMC_100,(P1),"   ",n,0.38," ",3700," ",14000,:,14000,6.4," ",11.02," ",8.55," ",7.61," ",8.36," ",7.56," ",7.49," ",5.97,0.94,0.19,-0.75,8.6,8.8
130,93,SMP_LMC_101,"    ",mea,n,0.04," ",4200," ",15300,:,15300,8.5," ",11.0," ",0.0,:,7.65,:,8.5,:,7.85,+,6.66,:,5.88,0.0,0.0,-0.86,7.65,8.56
131,94,SMP_LMC_102,"    ",vas,n,0.07,*,5000," ",17000,:,17000,8.7," ",11.0," ",0.0,<,7.29," ",8.28," ",7.36,<,8.09,:,5.88,0.0,0.0,-0.99,7.29,8.32
132,95,SMP_LMC_104,"    ",vas,n,0.26,*,5000," ",16900,:,16900,9.3,~,11.1," ",0.0,<,7.22," ",8.56," ",7.71,<,8.03," ",5.99,0.0,0.0,-1.35,7.22,8.58
133,96,SMP_LMC_104a,(P1),"   ",i,0.45," ",3700,:,15900," ",15900,7.8," ",10.92," ",8.56,:,7.51," ",7.78," ",7.19," ",7.65," ",5.36,1.05,0.79,-0.26,8.6,8.66
134,97,SMP_LMC_122,"    ","   ",i,0.34," ",500," ",15300,~,15300,9.3,:,10.93," ",0.0," ",8.83," ",8.94," ",8.08," ",8.09,:,5.92,0.0,0.0,-0.1,8.83,9.19
135,98,LMC-PNazzo,"    ","   ",n,0.89," ",1000,*,12000,*,12000,2.5,~,11.02," ",0.0," ",7.79," ",8.59," ",8.15," ",7.06,:,5.96,0.0,0.0,-0.8,7.79,8.66
136,99,MGPN_LMC_3,"    ",vas,n,0.25," ",500," ",13500,:,13500,2.6,<,10.77," ",0.0," ",7.5," ",8.23," ",7.8,+,6.08,:,6.06,0.0,0.0,-0.74,7.5,8.31
137,100,MGPN_LMC_7,"    ",vas,n,0.0," ",7900," ",13300,:,13300,5.1,+,10.94," ",0.0," ",7.69," ",8.43," ",7.78,+,6.67,<,6.11,0.0,0.0,-0.75,7.69,8.5
138,101,MGPN_LMC_21,"    ",vas,I,0.0,*,5000," ",17100,:,17100,10.0,+,11.15," ",0.0,<,7.8,+,8.05," ",7.12,<,8.6,<,5.95,0.0,0.0,-0.24,7.8,8.24
139,102,MGPN_LMC_29,"    ",vas,I,0.18," ",800," ",15200,:,15200,8.2,+,11.12," ",0.0,:,7.99,:,8.33,:,7.6,+,6.7,:,6.33,0.0,0.0,-0.34,7.99,8.5
140,103,MGPN_LMC_35,"    ",vas,i,0.11,*,5000,*,12000,*,12000,7.9," ",10.81," ",0.0,:,8.03," ",8.53," ",8.08,<,7.78,<,5.62,0.0,0.0,-0.5,8.03,8.65
141,104,MGPN_LMC_39,"    ",vas,i,0.49,*,5000,*,12000,*,12000,0.5," ",10.72," ",0.0," ",7.09," ",7.56,<,6.6,<,6.93,:,5.85,0.0,0.0,-0.48,7.09,7.69
142,105,MGPN_LMC_44,"    ",vas,I,0.31,*,5000," ",16300,:,16300,8.8,+,11.15," ",0.0,<,7.68,+,8.13," ",7.22,<,8.5,<,6.16,0.0,0.0,-0.45,7.68,8.26
143,106,MGPN_LMC_45,"    ",vas,I,0.86,*,5000," ",15100,:,15100,5.3," ",11.04," ",0.0," ",8.41," ",8.27," ",7.5,<,7.91," ",6.01,0.0,0.0,0.14,8.41,8.65
144,107,MGPN_LMC_46,"    ",vas,I,0.24," ",100," ",17700,:,17700,9.1,+,11.13," ",0.0,:,8.46,:,8.1,:,7.56,+,6.7,:,6.3,0.0,0.0,0.36,8.46,8.62
145,108,MGPN_LMC_74,"    ",vas,I,0.0," ",600,*,12000,*,12000,0.9," ",11.06," ",0.0," ",7.46," ",7.85," ",6.8,+,6.02,:,5.97,0.0,0.0,-0.39,7.46,8.0
146,109,MGPN_LMC_83,"    ",vas,I,0.53,*,5000,*,12000,*,12000,10.0,+,11.45," ",0.0," ",8.76," ",9.17," ",8.52,<,8.0,:,6.93,0.0,0.0,-0.42,8.76,9.31
147,110,[M94b] 5,"    ",vas,I,0.16," ",200," ",17200,:,17200,8.0,+,11.28," ",0.0," ",8.19," ",8.08," ",7.41,+,6.38,<,6.27,0.0,0.0,0.11,8.19,8.44
148,111,[M94b] 41,"    ",vas,n,0.68,*,5000," ",16400,:,16400,2.1,~,11.07," ",0.0," ",7.25," ",8.04,<,6.63,+,5.87,:,5.73,0.0,0.0,-0.79,7.25,8.1
149,112,[M94b] 42,"    ",vas,I,0.41," ",300," ",21000,:,21000,8.8,+,11.21," ",0.0," ",8.22," ",7.88," ",7.39,+,6.38,:,6.18,0.0,0.0,0.34,8.22,8.38
150,113,[M94b] 43,"    ",vas,I,0.14," ",1200," ",16800,:,16800,10.0," ",11.06," ",0.0,:,8.1,:,8.55,:,7.7,+,6.67,:,6.03,0.0,0.0,-0.44,8.1,8.68
151,114,[M94b] 45,"    ",vas,I,0.63," ",100," ",18800,:,18800,8.5,+,11.09," ",0.0,:,8.18,:,8.13,:,7.74,+,6.45,:,6.06,0.0,0.0,0.05,8.18,8.45
152,115,[M94b] 46,"    ",vas,n,0.22,*,5000," ",13500,:,13500,5.4,+,10.85," ",0.0," ",7.73," ",8.36," ",7.67,+,6.54,:,6.12,0.0,0.0,-0.63,7.73,8.45
153,116,[M94b] 48,"    ",vas,n,0.05," ",10600," ",16800,:,16800,0.9," ",10.88," ",0.0," ",6.85," ",7.66,<,5.91,+,5.43," ",5.61,0.0,0.0,-0.82,6.85,7.73
154,117,[M94b] 49,"    ",vas,I,0.14," ",2800," ",14700,:,14700,7.0," ",11.08," ",0.0," ",8.04," ",8.35," ",7.56,+,6.57," ",6.0,0.0,0.0,-0.31,8.04,8.52
155,118,[M94b] 50,"    ",vas,n,0.0,*,5000,*,12000,*,12000,0.0,+,10.76," ",0.0,:,7.64,:,8.48,:,7.75,+,6.73,:,6.23,0.0,0.0,-0.83,7.64,8.54
156,119,[M94b] 52,"    ",vas,n,0.0," ",300,*,12000,*,12000,2.3,~,11.22," ",0.0," ",7.25," ",8.27," ",7.64,+,6.37,:,6.07,0.0,0.0,-1.02,7.25,8.31
157,120,LHA_120-N_99,"    ",mon,n,0.25,*,5000,:,11700," ",11700,0.0," ",10.04," ",0.0," ",7.18," ",8.51,:,6.87," ",0.0," ",0.0,0.0,0.0,-1.32,7.18,8.53
